bw,score
32,1.12
33,1.125
34,1.3200000000000003
35,1.0
36,1.125
37,1.0
38,1.0800000000000003
39,1.32
40,1.04
41,1.0800000000000003
42,1.04
43,1.0
44,1.0740740740740742
45,1.0740740740740742
46,1.0740740740740742
47,1.0740740740740742
48,1.0740740740740742
49,1.0740740740740742
50,1.0740740740740742
51,1.037037037037037
52,1.0740740740740742
53,1.2962962962962965
54,1.888888888888889
55,1.6199999999999999
56,1.3600000000000003
57,1.3600000000000003
58,1.38
59,1.2600000000000002
60,1.3600000000000003
61,1.09375
62,1.3125
63,1.171875
64,1.0546875
65,1.2890625
66,1.171875
67,1.265625
68,1.125
69,1.2109375
70,1.3671875
71,1.59375
72,1.3494809688581315
73,1.1418685121107268
74,1.1003460207612459
75,1.2664359861591696
76,1.0934256055363323
77,1.0657439446366783
78,1.2864
79,1.32
80,1.352
81,1.2720000000000002
82,1.2096000000000002
83,1.3248000000000002
84,1.0416
85,1.0896
86,1.3488000000000002
87,1.1952000000000003
88,1.0992000000000002
89,1.0118343195266275
90,1.0118343195266275
91,1.0118343195266275
92,1.0828402366863907
93,1.0118343195266275
94,1.0118343195266275
95,1.1188271604938271
96,1.0555555555555556
97,1.0061728395061729
98,1.0061728395061729
99,1.1944444444444444
100,1.2314814814814816
101,1.1203703703703705
102,1.0725308641975309
103,1.111111111111111
104,1.234567901234568
105,1.3657407407407407
106,1.3060628195763333
107,1.4112490869247625
108,1.5982468955441929
109,1.1599707815924032
110,1.183345507669832
111,1.3060628195763329
112,1.2157434402332363
113,1.3044564764681383
114,1.3044564764681383
115,1.2044981257809246
116,1.2644731361932529
117,1.2044981257809246
118,1.2211578508954601
119,1.376926280716368
120,1.601832569762599
121,1.4960433152852977
122,1.2419825072886297
123,1.3480000000000003
124,1.572
125,1.32
126,1.3
127,1.1920000000000002
128,1.0759999999999998
129,1.3515625
130,1.435546875
131,1.55859375
132,1.33642578125
133,1.25439453125
134,1.390625
135,1.5556640625
136,1.52734375
137,1.4375
138,1.37744140625
139,1.54296875
140,1.6378698224852073
141,1.4257988165680473
142,1.3879289940828405
143,1.3057988165680476
144,1.2402366863905325
145,1.2248520710059174
146,1.6058527663465934
147,1.7846364883401917
148,1.620484682213077
149,1.7901234567901234
150,1.676573693034598
151,1.7253467459228773
152,1.19570187471422
153,1.1239140374942844
154,1.1860996799268404
155,1.6689529035208046
156,1.5767413504039018
157,1.5199286139202854
158,1.4589530041641878
159,1.414336704342653
160,1.4187983343248067
161,1.4054134443783461
162,1.4530041641879834
163,1.332
164,1.176
165,1.2204000000000002
166,1.2684000000000002
167,1.4028
168,1.118
169,1.1870000000000003
170,1.1176
171,1.2889999999999997
172,1.3789999999999996
173,1.4904
174,1.2846779727477697
175,1.2072345848446229
176,1.0449955886677778
177,1.1631212626213117
178,1.1395941574355455
179,1.1317517890402902
180,1.0614029096373199
181,1.0657741957516562
182,1.0745167679803291
183,1.0745167679803291
184,1.0876306263233384
185,1.0745167679803291
186,1.0657741957516562
187,1.4013387063725153
188,1.4013387063725153
189,1.4158868929717916
190,1.2243016187418891
191,1.2678043536683685
192,1.0658425154528353
193,1.0529427573233001
194,1.0443429185702768
195,1.4633163128191347
196,1.4633163128191347
197,1.3294753086419753
198,1.2240547839506173
199,1.2322530864197532
200,1.238425925925926
201,1.209104938271605
202,1.1916473765432098
203,1.2254050925925928
204,1.0960648148148149
205,1.203800154320988
206,1.2301311728395063
207,1.2726658950617284
208,1.3114387633769322
209,1.5033531510107012
210,1.4512722948870393
211,1.7034958382877528
212,1.400332936979786
213,1.669013079667063
214,1.588809915619201
215,1.5030986310003154
216,1.3369629914918946
217,1.2588844928398861
218,1.2179195406323307
219,1.2119673680893523
220,1.218969924022268
221,1.4010363782780715
222,1.4833164104898289
223,1.6419243023703651
224,1.5482651167676202
225,1.4732179930795848
226,1.4114878892733564
227,1.3749480968858132
228,1.3749480968858132
229,1.3337024221453289
230,1.3345328719723184
231,1.5074968763015413
232,1.5187421907538527
233,1.5079133694294047
234,1.5118700541441068
235,2.0769471053727617
236,2.0825697625989172
237,1.9326322365680966
238,1.7755102040816326
239,2.182996668054977
240,2.2551541024573094
241,1.9351311953352772
242,1.575150094050349
243,1.5772114715658738
244,1.1686206807699246
245,1.2815326341827928
246,1.326341827926512
247,1.3186116622432942
248,1.4550518518518518
249,1.4052740740740741
250,1.366637037037037
251,1.3403259259259261
252,1.3370074074074074
253,1.2917333333333334
254,1.2779851851851853
255,1.5955753086419753
256,1.5791407407407405
