32, 6
33, 4
34, 5
35, 3
36, 4
37, 5
38, 4
39, 4
40, 3
41, 4
42, 3
43, 2
44, 4
45, 4
46, 4
47, 4
48, 4
49, 4
50, 4
51, 6
52, 5
53, 5
54, 5
55, 5
56, 4
57, 4
58, 5
59, 5
60, 4
61, 8
62, 8
63, 8
64, 8
65, 8
66, 7
67, 8
68, 6
69, 7
70, 6
71, 7
72, 7
73, 7
74, 7
75, 7
76, 5
77, 5
78, 5
79, 6
80, 6
81, 6
82, 5
83, 5
84, 4
85, 4
86, 4
87, 4
88, 4
89, 4
90, 4
91, 4
92, 4
93, 4
94, 4
95, 6
96, 5
97, 5
98, 5
99, 8
100, 8
101, 8
102, 7
103, 7
104, 7
105, 7
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 5
113, 6
114, 6
115, 6
116, 6
117, 6
118, 6
119, 9
120, 9
121, 10
122, 8
123, 7
124, 7
125, 7
126, 7
127, 11
128, 7
129, 10
130, 9
131, 10
132, 9
133, 10
134, 10
135, 11
136, 9
137, 9
138, 8
139, 10
140, 9
141, 9
142, 9
143, 10
144, 9
145, 10
146, 9
147, 10
148, 9
149, 10
150, 9
151, 9
152, 6
153, 7
154, 7
155, 7
156, 6
157, 6
158, 6
159, 6
160, 6
161, 6
162, 6
163, 7
164, 6
165, 7
166, 7
167, 8
168, 6
169, 6
170, 5
171, 6
172, 6
173, 7
174, 6
175, 6
176, 5
177, 6
178, 6
179, 6
180, 5
181, 5
182, 5
183, 5
184, 5
185, 5
186, 5
187, 8
188, 8
189, 7
190, 6
191, 6
192, 5
193, 5
194, 5
195, 8
196, 8
197, 10
198, 9
199, 10
200, 10
201, 10
202, 9
203, 9
204, 8
205, 9
206, 9
207, 9
208, 9
209, 10
210, 9
211, 10
212, 8
213, 9
214, 8
215, 8
216, 7
217, 7
218, 7
219, 7
220, 7
221, 7
222, 7
223, 7
224, 6
225, 6
226, 6
227, 6
228, 6
229, 6
230, 6
231, 6
232, 6
233, 6
234, 6
235, 9
236, 9
237, 9
238, 9
239, 11
240, 11
241, 12
242, 12
243, 12
244, 9
245, 9
246, 8
247, 8
248, 8
249, 8
250, 8
251, 8
252, 8
253, 8
254, 8
255, 10
256, 10
