WIDTH,LUTs,DSPs
32,421,2
32,1295,0
32,47,4
32,865,1
32,1222,0
32,111,5
33,49,4
33,696,2
33,1360,0
33,1015,1
34,115,5
34,1417,0
34,51,4
34,945,1
34,1308,0
35,1452,0
35,63,4
35,741,2
36,198,3
36,1362,0
36,83,4
36,646,2
37,279,3
37,1514,0
37,1081,1
37,722,2
37,118,4
38,322,3
38,1611,0
38,70,5
38,1204,1
39,857,2
39,1672,0
39,1275,1
39,74,5
40,1696,0
40,893,2
40,78,5
41,82,5
41,1847,0
41,1430,1
41,821,3
42,85,5
42,1897,0
42,1327,2
43,2016,0
43,87,5
44,189,6
44,2051,0
44,72,9
44,926,4
45,195,6
45,2261,0
45,923,4
45,74,9
46,197,6
46,2359,0
46,1651,2
46,76,9
47,203,6
47,2406,0
47,1682,2
47,78,9
48,205,6
48,2470,0
48,80,9
48,1006,4
49,211,6
49,2536,0
49,82,9
49,1016,4
50,213,6
50,2582,0
50,84,9
50,1812,2
51,1098,4
51,2743,0
51,86,9
51,1872,2
51,2653,0
51,697,6
52,2782,0
52,88,9
52,1100,4
52,2666,0
52,699,6
53,1394,4
53,3124,0
53,1827,3
53,2938,0
53,110,9
54,2267,2
54,3391,0
54,2698,1
54,3040,0
54,144,9
55,2161,3
55,3452,0
55,2854,1
55,3185,0
55,94,10
56,96,10
56,3488,0
56,2706,2
56,3404,0
57,98,10
57,3569,0
57,2791,2
57,3504,0
58,2124,4
58,3611,0
58,3108,1
58,3432,0
58,100,10
59,1970,5
59,3675,0
59,3181,1
59,3537,0
59,102,10
60,104,10
60,3730,0
60,2981,2
60,3681,0
61,155,16
61,394,12
61,1642,6
61,3803,0
61,955,10
61,3061,2
61,3748,0
61,1086,12
62,398,12
62,1872,6
62,3833,0
62,1514,8
62,3385,1
62,3738,0
62,157,16
62,1579,9
63,408,12
63,1980,6
63,3913,0
63,1626,8
63,3227,2
63,3907,0
63,159,16
63,1691,9
64,412,12
64,1801,6
64,3947,0
64,1072,10
64,2965,3
64,3994,0
64,161,16
64,1201,12
65,422,12
65,1501,9
65,4051,0
65,162,16
65,1075,10
65,3056,3
65,4074,0
65,1205,12
66,426,12
66,1792,9
66,4079,0
66,164,16
66,1727,8
66,3148,3
66,4154,0
67,450,12
67,1847,9
67,4233,0
67,167,16
67,1099,10
67,1782,8
67,2914,4
67,4290,0
68,1265,12
68,4295,0
68,168,16
68,454,12
68,1137,10
68,2904,4
69,171,16
69,1341,10
69,4360,0
69,492,12
69,1277,9
69,1171,10
69,2612,5
70,193,16
70,1964,7
70,4470,0
70,506,12
70,1866,8
70,2400,6
71,1511,8
71,4645,0
71,228,16
71,1246,10
71,4173,1
71,2409,6
71,1351,9
72,177,17
72,975,9
72,4599,0
72,589,12
72,4125,1
72,2323,6
72,815,10
73,1107,9
73,4873,0
73,583,13
73,3926,2
73,179,17
73,2853,5
73,946,10
74,1190,9
74,5054,0
74,181,17
74,621,13
74,3614,3
74,2904,5
74,868,11
75,1779,8
75,5223,0
75,183,17
75,3818,3
75,3468,4
75,829,12
75,990,11
76,1824,8
76,5315,0
76,185,17
76,3910,3
76,1035,11
77,2410,7
77,5468,0
77,187,17
77,3651,4
77,797,13
78,2964,6
78,5564,0
78,279,25
78,3799,4
78,555,15
79,2177,9
79,5690,0
79,283,25
79,4010,4
79,3374,6
79,569,15
80,2215,9
80,5730,0
80,287,25
80,3652,5
80,2980,7
80,575,15
81,1406,12
81,5875,0
81,291,25
81,4666,3
81,3400,7
81,588,15
82,594,15
82,5877,0
82,295,25
82,5164,2
82,3251,8
83,607,15
83,6127,0
83,299,25
83,5613,1
83,2591,10
84,612,15
84,6069,0
84,302,25
84,3136,9
85,717,16
85,6479,0
85,304,25
85,2607,11
86,721,16
86,6525,0
86,324,25
86,1431,14
87,833,17
87,6748,0
87,2298,13
87,349,25
88,386,25
88,937,18
88,6782,0
88,3143,12
89,312,26
89,953,18
89,7037,0
89,3836,10
90,961,18
90,7184,0
90,314,26
90,3781,10
91,973,18
91,7323,0
91,316,26
91,4465,8
92,977,18
92,7419,0
92,318,26
92,5131,6
93,993,18
93,7586,0
93,320,26
93,4577,8
94,1001,18
94,7691,0
94,322,26
94,4717,8
95,1013,18
95,7854,0
95,760,24
95,381,36
95,4087,10
95,641,27
96,1017,18
96,7923,0
96,645,27
96,385,36
96,3433,12
97,1033,18
97,8047,0
97,655,27
97,389,36
97,4209,10
98,1041,18
98,8111,0
98,659,27
98,393,36
98,4191,10
99,1935,16
99,8059,0
99,397,36
99,669,27
99,921,21
99,5051,8
99,8190,0
99,1534,18
100,1951,16
100,8145,0
100,401,36
100,673,27
100,925,21
100,5827,6
100,8239,0
100,1538,18
101,2854,14
101,8465,0
101,683,27
101,806,24
101,5168,8
101,8368,0
101,405,36
101,2030,18
102,3705,12
102,8753,0
102,687,27
102,5286,8
102,8475,0
102,409,36
102,2510,18
103,4041,12
103,9111,0
103,711,27
103,5188,9
103,8653,0
103,440,36
103,1934,21
104,4035,12
104,9164,0
104,458,36
104,715,27
104,4470,11
104,8706,0
104,1938,21
105,5218,10
105,9718,0
105,777,27
105,6072,8
105,9108,0
105,496,36
105,1390,24
106,5495,10
106,10065,0
106,6800,7
106,449,37
106,9416,0
106,801,27
107,6322,9
107,10493,0
107,7901,5
107,9765,0
107,455,37
107,866,28
108,7194,7
108,10748,0
108,8776,3
108,461,37
108,9798,0
108,901,28
109,5020,15
109,10890,0
109,8784,4
109,468,37
109,10179,0
109,866,29
110,4905,16
110,10972,0
110,8908,4
110,471,37
110,10314,0
110,819,30
111,2892,23
111,11092,0
111,8854,5
111,474,37
