prog time: 6939.679577827454
233,142.0918345451355
234,150.26949095726013
235,175.96766781806946
236,203.4905219078064
237,204.98483657836914
238,214.45904850959778
239,199.64806485176086
240,222.04434275627136
241,122.35355877876282
242,129.670259475708
243,130.78073811531067
244,125.61481428146362
245,148.37254643440247
246,201.560893535614
247,295.32752561569214
248,357.6005141735077
249,309.85993695259094
250,343.2850728034973
251,374.4767847061157
252,473.1184010505676
253,500.69198846817017
254,854.0069484710693
255,527.2830817699432
256,532.7072057723999
