2,2,2,0
3,3,3,0
4,4,21,0
5,5,24,0
6,6,52,0
7,7,60,0
8,8,108,0
9,9,110,0
10,10,143,0
11,11,143,0
12,12,173,0
13,13,180,0
14,14,219,0
15,15,223,0
16,16,300,0
17,17,303,0
18,18,190,2
19,19,190,2
20,20,31,4
21,21,31,4
22,22,34,4
23,23,34,4
24,24,37,4
25,25,37,4
26,26,40,4
27,27,40,4
28,28,43,4
29,29,43,4
30,30,46,4
31,31,46,4
32,32,49,4
33,33,49,4
34,34,69,4
35,35,69,4
36,36,150,3
37,37,152,3
38,38,271,3
39,39,274,3
40,40,274,4
41,41,275,4
42,42,128,6
43,43,129,6
44,44,134,6
45,45,135,6
46,46,140,6
47,47,141,6
48,48,146,6
49,49,147,6
50,50,152,6
51,51,153,6
52,52,229,8
53,53,231,8
54,54,311,12
55,55,313,12
56,56,325,12
57,57,327,12
58,58,339,12
59,59,341,12
60,60,353,12
61,61,355,12
62,62,367,12
63,63,369,12
64,64,381,12
65,65,383,12
66,66,395,12
67,67,398,12
68,68,367,12
69,69,368,12
70,70,419,12
71,71,421,12
72,72,498,12
73,73,501,12
74,74,531,13
75,75,534,13
76,76,443,15
77,77,445,15
78,78,461,15
79,79,463,15
80,80,479,15
81,81,481,15
82,82,498,15
83,83,500,15
84,84,515,15
85,85,518,15
86,86,514,19
87,87,517,19
88,88,496,27
89,89,499,27
90,90,512,27
91,91,515,27
92,92,528,27
93,93,531,27
94,94,544,27
95,95,547,27
96,96,560,27
97,97,563,27
98,98,576,27
99,99,579,27
100,100,592,27
101,101,595,27
102,102,618,27
103,103,621,27
104,104,646,27
105,105,649,27
106,106,733,27
107,107,806,27
108,108,831,28
109,109,834,28
110,110,745,30
111,111,748,30
112,112,761,30
113,113,765,30
114,114,779,30
115,115,783,30
116,116,797,30
117,117,800,30
118,118,815,30
119,119,818,30
120,120,816,36
121,121,820,36
122,122,951,48
123,123,953,48
124,124,963,48
125,125,965,48
126,126,980,48
127,127,984,48
128,128,992,48
